City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kaitangata,NZ,-46.2817,169.8464,42.28,92,6,4.05,clear sky
80,Narsaq,GL,60.9167,-46.05,35.82,77,100,4.54,overcast clouds
81,Angoche,MZ,-16.2325,39.9086,80.51,79,99,11.77,light rain
82,Mitsamiouli,KM,-11.3847,43.2844,84.49,70,20,14.97,few clouds
83,Hithadhoo,MV,-0.6,73.0833,82.78,75,16,7.4,few clouds
84,Levelland,US,33.5873,-102.378,83.19,6,0,16.84,clear sky
85,Khatanga,RU,71.9667,102.5,6.91,96,96,11.65,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,-9.17,84,75,11.5,broken clouds
87,Trairi,BR,-3.2778,-39.2689,82.72,77,100,6.89,overcast clouds
88,Ribeira Grande,PT,38.5167,-28.7,63.0,59,20,18.41,few clouds
89,Chuy,UY,-33.6971,-53.4616,68.95,56,100,9.84,overcast clouds
90,Nanortalik,GL,60.1432,-45.2371,31.44,76,87,9.57,overcast clouds
91,Kapaa,US,22.0752,-159.319,75.52,90,20,17.27,light rain
92,Cherskiy,RU,68.75,161.3,6.48,94,100,4.74,overcast clouds
93,Olafsvik,IS,64.8945,-23.7142,41.95,66,94,12.3,overcast clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,66,75,8.05,broken clouds
95,Qaanaaq,GL,77.484,-69.3632,-11.15,76,6,1.14,clear sky
96,Dunedin,NZ,-45.8742,170.5036,53.8,67,0,10.0,clear sky
97,Yayva,RU,59.3303,57.2641,23.18,94,15,2.44,few clouds
98,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,10.36,light snow
99,Tacoronte,ES,28.4769,-16.4102,78.13,38,100,4.61,haze
100,Sakakah,SA,29.9697,40.2064,78.37,11,0,10.2,clear sky
101,Westport,US,41.1415,-73.3579,51.8,39,40,20.71,scattered clouds
102,Banda Aceh,ID,5.5577,95.3222,79.38,79,82,4.83,broken clouds
103,Ambovombe,MG,-25.1667,46.0833,74.59,86,95,15.99,overcast clouds
104,Leningradskiy,RU,69.3833,178.4167,3.38,93,56,3.0,broken clouds
105,Tashla,RU,51.7716,52.7427,53.74,61,100,7.67,overcast clouds
106,Owase,JP,34.0667,136.2,58.21,92,99,6.11,overcast clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,43.63,69,34,7.7,scattered clouds
108,Imbituba,BR,-28.24,-48.6703,73.85,64,56,7.81,broken clouds
109,Mahebourg,MU,-20.4081,57.7,77.29,100,40,3.44,scattered clouds
110,Antipino,RU,57.1068,65.7576,39.49,75,94,2.33,overcast clouds
111,Coihaique,CL,-45.5752,-72.0662,56.01,71,0,3.44,clear sky
112,Mezen,RU,65.8522,44.24,32.9,98,100,9.4,light snow
113,Bredasdorp,ZA,-34.5322,20.0403,59.31,94,38,5.48,scattered clouds
114,Springdale,US,36.1867,-94.1288,55.13,80,100,9.22,overcast clouds
115,Belfast,GB,54.5833,-5.9333,52.39,93,20,10.36,few clouds
116,Fort Nelson,CA,58.8053,-122.7002,13.59,62,100,11.5,light snow
117,Bayji,IQ,34.9311,43.487,71.47,21,4,4.45,clear sky
118,Saint-Francois,FR,46.4154,3.9054,60.24,44,0,4.61,clear sky
119,Alanya,TR,36.5438,31.9998,64.53,52,100,14.27,light rain
120,Jiuquan,CN,39.7432,98.5174,43.83,27,0,7.4,clear sky
121,Pandan,PH,14.0453,124.1694,78.06,80,12,11.05,few clouds
122,Port Alfred,ZA,-33.5906,26.891,65.52,81,74,3.4,broken clouds
123,Ancud,CL,-41.8697,-73.8203,62.22,71,100,5.44,overcast clouds
124,Georgetown,MY,5.4112,100.3354,82.33,100,20,3.44,light rain
125,Yafran,LY,32.0633,12.5286,57.34,53,0,3.89,clear sky
126,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,79,69,11.14,broken clouds
127,Bousso,TD,10.4795,16.7117,94.82,31,95,6.04,overcast clouds
128,Upernavik,GL,72.7868,-56.1549,-2.88,81,100,15.95,overcast clouds
129,Geraldton,AU,-28.7667,114.6,55.81,76,0,9.22,clear sky
130,Alofi,NU,-19.0595,-169.9187,73.29,94,46,2.3,scattered clouds
131,Cayenne,GF,4.9333,-52.3333,84.24,9,75,17.27,broken clouds
132,Kenai,US,60.5544,-151.2583,38.14,78,100,0.0,overcast clouds
133,Muli,MV,2.9167,73.5667,84.09,69,89,10.85,overcast clouds
134,Atuona,PF,-9.8,-139.0333,79.57,80,18,18.19,light rain
135,Hanko,FI,59.8333,22.95,37.15,78,24,7.25,few clouds
136,Lubumbashi,CD,-11.6609,27.4794,63.14,95,13,2.59,few clouds
137,Ilulissat,GL,69.2167,-51.1,19.42,63,75,5.75,broken clouds
138,Fabiansebestyen,HU,46.6833,20.4667,45.03,50,0,13.47,clear sky
139,Pangai,TO,-19.8,-174.35,78.91,78,20,8.05,few clouds
140,Thompson,CA,55.7435,-97.8558,30.36,37,40,4.61,scattered clouds
141,Erzurum,TR,40.0,41.5,42.48,61,18,3.47,few clouds
142,Kattivakkam,IN,13.2167,80.3167,86.09,86,39,8.37,light rain
143,Waipawa,NZ,-41.4122,175.5153,50.02,77,83,7.16,broken clouds
144,Kavieng,PG,-2.5744,150.7967,82.85,72,100,12.17,overcast clouds
145,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,71,10.09,light rain
146,Taoudenni,ML,22.6783,-3.9836,83.73,19,0,12.1,clear sky
147,Balakhta,RU,55.38,91.6,48.38,70,100,3.13,overcast clouds
148,Otavi,NA,-19.65,17.3333,68.74,64,49,0.96,scattered clouds
149,Rudbar,AF,30.15,62.6,78.26,32,85,12.08,overcast clouds
150,North Battleford,CA,52.7834,-108.2847,37.4,38,75,5.75,broken clouds
151,Acapulco,MX,16.8634,-99.8901,84.02,70,0,13.8,clear sky
152,Bengkulu,ID,-3.8004,102.2655,75.97,93,88,4.27,overcast clouds
153,Bitlis,TR,38.5,42.25,40.6,46,91,3.58,overcast clouds
154,Teknaf,BD,20.8624,92.3058,79.48,89,40,2.28,scattered clouds
155,Cidreira,BR,-30.1811,-50.2056,70.03,59,100,8.43,overcast clouds
156,Takab,IR,36.4009,47.1133,45.91,51,0,3.44,clear sky
